temp_level,humidity,precipitation,frequency_outbreak_in_area,travel_patterns,mosquito_species,malaria_vectors,vectors_infection_rates,healthcare_availability,healthcare_accessibility,malaria_treatment_success_rates,land_use,mosquito_breeding_sites,stagnant_waters,iot_air_quality,iot_water_quality,presence_of_vegetation,outbreak_threshold
High,Low,Yes,High,Low,Aedes aegypti,No,Low,No,Yes,Low,Rural,No,No,Bad,Bad,Yes,0.386508037
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Urban,Yes,No,Good,Good,No,0.053116231
High,Low,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Urban,Yes,No,Good,Bad,No,0.110536095
High,High,Yes,Low,High,Aedes aegypti,No,High,No,Yes,Low,Urban,No,No,Good,Bad,Yes,0.202878132
Low,High,No,Low,High,Anopheles gambiae,No,Low,Yes,No,Low,Urban,No,Yes,Good,Good,Yes,0.224824906
Low,High,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Urban,No,No,Bad,Bad,Yes,0.562125732
Low,High,No,Low,Low,Aedes aegypti,No,Low,No,No,High,Urban,Yes,No,Good,Good,No,0.495620457
Low,Low,Yes,High,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,No,No,Good,Bad,No,0.803876605
High,Low,No,Low,High,Culex quinquefasciatus,No,Low,No,No,High,Rural,No,No,Good,Bad,No,0.255486037
Low,Low,Yes,High,High,Aedes aegypti,No,High,No,Yes,High,Rural,Yes,Yes,Bad,Good,No,0.855932421
High,Low,No,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,Yes,No,Good,Bad,No,0.910897414
High,Low,No,High,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Rural,No,Yes,Good,Good,Yes,0.466150006
High,High,No,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Urban,Yes,No,Bad,Bad,Yes,0.298067636
High,Low,Yes,High,High,Anopheles gambiae,No,Low,Yes,No,High,Rural,No,No,Bad,Good,No,0.747660516
High,High,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,High,Urban,No,No,Bad,Bad,Yes,0.834440001
Low,High,Yes,High,Low,Aedes aegypti,No,High,Yes,No,High,Urban,No,Yes,Good,Bad,Yes,0.426474024
High,Low,Yes,High,High,Anopheles gambiae,No,Low,No,No,Low,Rural,No,Yes,Good,Good,Yes,0.543776513
Low,High,Yes,High,Low,Culex quinquefasciatus,No,Low,Yes,No,Low,Rural,Yes,No,Bad,Good,No,0.659664776
High,Low,No,High,Low,Culex quinquefasciatus,No,High,No,No,High,Rural,No,No,Bad,Bad,No,0.19555757
Low,High,Yes,Low,High,Aedes aegypti,Yes,Low,No,Yes,High,Rural,Yes,No,Bad,Good,No,0.211491265
Low,Low,No,High,High,Anopheles gambiae,No,High,No,Yes,Low,Urban,No,No,Good,Good,No,0.759235727
High,High,No,Low,Low,Culex quinquefasciatus,No,High,Yes,Yes,Low,Urban,Yes,No,Bad,Bad,Yes,0.641167854
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,Low,No,Yes,Low,Urban,Yes,No,Good,Bad,Yes,0.22623508
High,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,No,High,Rural,Yes,Yes,Bad,Bad,Yes,0.913738581
Low,High,No,High,High,Anopheles gambiae,No,High,Yes,No,Low,Rural,Yes,Yes,Bad,Good,No,0.099704018
High,High,Yes,Low,Low,Anopheles gambiae,No,High,Yes,Yes,High,Urban,Yes,Yes,Good,Good,No,0.802966224
High,High,Yes,Low,High,Aedes aegypti,Yes,Low,Yes,No,High,Urban,Yes,No,Bad,Bad,No,0.474998277
High,High,No,High,Low,Anopheles gambiae,No,Low,Yes,Yes,High,Rural,Yes,Yes,Good,Bad,Yes,0.112448632
Low,High,No,Low,Low,Culex quinquefasciatus,Yes,High,No,Yes,High,Urban,No,Yes,Bad,Good,No,0.780500044
Low,High,No,Low,High,Anopheles gambiae,No,Low,Yes,Yes,Low,Urban,No,No,Bad,Bad,No,0.139069183
Low,Low,Yes,High,Low,Aedes aegypti,No,Low,No,No,High,Rural,No,No,Good,Good,No,0.894686349
Low,Low,No,High,High,Anopheles gambiae,No,High,Yes,No,Low,Urban,Yes,No,Good,Good,Yes,0.624763453
Low,High,Yes,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,Yes,Yes,Good,Bad,No,0.59311374
High,Low,No,High,High,Culex quinquefasciatus,Yes,High,No,Yes,Low,Urban,Yes,No,Bad,Bad,No,0.518989229
Low,Low,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.121274977
High,Low,Yes,High,High,Culex quinquefasciatus,Yes,Low,Yes,Yes,High,Urban,No,No,Bad,Bad,Yes,0.519601816
High,Low,Yes,High,High,Anopheles gambiae,No,High,No,No,Low,Rural,No,Yes,Good,Bad,No,0.430993004
Low,Low,Yes,High,Low,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Rural,No,No,Bad,Bad,Yes,0.928044412
Low,High,Yes,Low,High,Aedes aegypti,No,Low,No,No,Low,Urban,Yes,No,Good,Good,No,0.091733557
High,High,No,High,Low,Culex quinquefasciatus,Yes,Low,Yes,Yes,Low,Rural,No,Yes,Bad,Bad,No,0.941954478
Low,Low,No,High,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Rural,Yes,Yes,Good,Bad,No,0.316006742
High,Low,No,Low,Low,Aedes aegypti,Yes,High,Yes,No,Low,Rural,Yes,No,Bad,Bad,Yes,0.148849929
Low,Low,Yes,Low,High,Aedes aegypti,Yes,Low,No,Yes,Low,Urban,No,Yes,Bad,Bad,No,0.101180983
Low,Low,Yes,Low,Low,Anopheles gambiae,No,High,No,Yes,Low,Rural,Yes,Yes,Good,Good,Yes,0.451850943
Low,Low,No,High,Low,Anopheles gambiae,Yes,High,Yes,No,High,Rural,Yes,No,Bad,Good,Yes,0.680606703
Low,High,Yes,Low,High,Anopheles gambiae,Yes,Low,Yes,No,Low,Rural,No,Yes,Good,Bad,Yes,0.210849605
High,High,No,High,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.070730543
High,Low,No,Low,Low,Aedes aegypti,Yes,High,Yes,No,Low,Urban,Yes,No,Bad,Bad,No,0.147949278
High,High,Yes,Low,Low,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Rural,Yes,No,Good,Good,No,0.31121958
High,Low,No,High,Low,Anopheles gambiae,Yes,Low,Yes,No,High,Rural,No,No,Bad,Bad,Yes,0.408113747
Low,High,Yes,High,Low,Aedes aegypti,No,High,Yes,Yes,High,Rural,Yes,Yes,Good,Good,Yes,0.838087284
Low,High,Yes,Low,Low,Culex quinquefasciatus,Yes,High,No,No,High,Urban,No,No,Good,Good,Yes,0.842784368
High,Low,Yes,Low,Low,Anopheles gambiae,No,Low,Yes,No,Low,Urban,No,No,Good,Good,Yes,0.514251199
Low,Low,No,High,Low,Aedes aegypti,Yes,High,Yes,No,Low,Rural,No,Yes,Bad,Bad,Yes,0.546181858
High,Low,Yes,High,High,Anopheles gambiae,No,High,Yes,Yes,Low,Rural,No,Yes,Bad,Bad,Yes,0.549202346
High,High,No,High,High,Aedes aegypti,No,Low,No,Yes,Low,Rural,Yes,No,Good,Good,Yes,0.98611709
Low,Low,Yes,High,Low,Aedes aegypti,Yes,High,Yes,Yes,High,Rural,No,No,Good,Bad,No,0.684353297
Low,Low,No,High,Low,Culex quinquefasciatus,No,High,Yes,Yes,High,Urban,Yes,No,Good,Good,Yes,0.371709499
High,High,No,High,Low,Anopheles gambiae,No,High,Yes,Yes,Low,Urban,Yes,Yes,Bad,Good,No,0.012887892
Low,Low,Yes,High,High,Culex quinquefasciatus,Yes,High,No,Yes,High,Urban,No,No,Good,Bad,Yes,0.2408875
High,High,No,Low,High,Culex quinquefasciatus,No,Low,No,Yes,High,Urban,Yes,No,Bad,Good,No,0.055105641
Low,Low,No,High,Low,Culex quinquefasciatus,Yes,High,No,Yes,High,Urban,Yes,Yes,Bad,Bad,Yes,0.269435431
High,Low,No,Low,Low,Aedes aegypti,Yes,High,Yes,No,Low,Urban,Yes,Yes,Bad,Good,No,0.09911095
Low,Low,No,High,High,Aedes aegypti,Yes,Low,No,Yes,High,Rural,Yes,Yes,Good,Good,Yes,0.509754735
High,High,No,High,Low,Aedes aegypti,No,Low,Yes,No,High,Urban,No,Yes,Bad,Good,Yes,0.312608202
High,High,No,Low,Low,Culex quinquefasciatus,No,High,Yes,Yes,High,Urban,No,Yes,Good,Bad,Yes,0.5380102
Low,High,No,Low,High,Anopheles gambiae,No,High,Yes,Yes,High,Urban,Yes,No,Bad,Bad,No,0.920060832
High,Low,Yes,Low,Low,Anopheles gambiae,Yes,High,No,No,High,Urban,No,Yes,Good,Good,No,0.739684475
High,Low,No,Low,High,Culex quinquefasciatus,No,Low,No,Yes,Low,Rural,Yes,Yes,Bad,Good,Yes,0.470157617
High,Low,Yes,High,Low,Aedes aegypti,No,Low,No,Yes,Low,Urban,No,No,Good,Good,No,0.182546226
Low,High,No,Low,Low,Culex quinquefasciatus,Yes,Low,No,Yes,High,Rural,No,Yes,Good,Good,Yes,0.830050399
Low,High,Yes,High,High,Aedes aegypti,Yes,High,Yes,Yes,Low,Urban,No,No,Bad,Good,Yes,0.634121296
High,High,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Rural,Yes,Yes,Good,Bad,Yes,0.962354341
Low,High,No,Low,High,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Rural,No,Yes,Bad,Good,No,0.436156116
Low,Low,No,Low,Low,Culex quinquefasciatus,No,High,Yes,Yes,High,Urban,No,No,Good,Bad,No,0.71880801
High,Low,Yes,Low,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Rural,Yes,Yes,Good,Good,Yes,0.717507568
Low,Low,No,High,Low,Aedes aegypti,Yes,Low,Yes,No,Low,Urban,No,Yes,Bad,Good,Yes,0.899294551
High,High,No,High,Low,Aedes aegypti,No,Low,No,Yes,High,Rural,No,No,Bad,Good,No,0.317908238
High,High,No,High,High,Culex quinquefasciatus,Yes,High,Yes,No,High,Rural,Yes,No,Bad,Bad,No,0.57657655
High,High,No,Low,Low,Anopheles gambiae,No,Low,Yes,No,High,Rural,No,Yes,Bad,Bad,Yes,0.606230056
High,Low,No,Low,Low,Anopheles gambiae,No,High,No,No,Low,Urban,No,Yes,Good,Bad,No,0.768130193
High,Low,No,Low,High,Anopheles gambiae,Yes,Low,Yes,Yes,High,Rural,Yes,No,Good,Bad,No,0.703499587
High,High,No,High,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Rural,No,No,Bad,Good,No,0.532860699
High,High,No,High,Low,Culex quinquefasciatus,No,Low,Yes,No,Low,Urban,No,Yes,Bad,Bad,No,0.601354636
Low,High,Yes,Low,Low,Anopheles gambiae,No,High,No,Yes,High,Urban,No,No,Good,Good,No,0.847038645
High,Low,Yes,High,High,Anopheles gambiae,Yes,Low,No,Yes,Low,Rural,No,No,Good,Good,No,0.158196031
High,High,No,High,Low,Culex quinquefasciatus,No,Low,No,No,High,Urban,No,No,Bad,Bad,Yes,0.150649712
High,High,Yes,Low,High,Aedes aegypti,Yes,Low,No,No,Low,Rural,No,No,Bad,Good,Yes,0.06965299
Low,Low,Yes,High,High,Culex quinquefasciatus,Yes,High,No,No,Low,Rural,No,No,Good,Bad,No,0.667183698
Low,High,No,Low,High,Anopheles gambiae,No,High,No,No,High,Urban,Yes,Yes,Good,Good,No,0.362741072
Low,Low,No,High,High,Anopheles gambiae,No,High,Yes,Yes,Low,Urban,Yes,No,Bad,Good,No,0.639372632
High,Low,Yes,High,High,Anopheles gambiae,No,High,No,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.317131331
High,Low,No,High,High,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Rural,No,No,Bad,Bad,No,0.374026229
Low,High,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,Low,Urban,Yes,Yes,Bad,Bad,Yes,0.53591301
Low,Low,No,High,High,Anopheles gambiae,No,High,Yes,Yes,Low,Rural,No,Yes,Bad,Bad,Yes,0.651797786
Low,Low,No,Low,High,Anopheles gambiae,No,Low,Yes,No,Low,Urban,No,No,Good,Good,No,0.363220071
Low,Low,No,High,Low,Aedes aegypti,No,High,Yes,No,Low,Rural,No,Yes,Bad,Good,Yes,0.388970483
Low,High,Yes,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,High,Rural,Yes,No,Good,Good,No,0.437514211
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Rural,No,No,Bad,Good,Yes,0.072032761
High,High,No,Low,Low,Culex quinquefasciatus,Yes,High,No,No,Low,Urban,Yes,Yes,Good,Good,No,0.906992151
Low,Low,No,High,Low,Aedes aegypti,No,Low,No,No,Low,Urban,No,No,Good,Good,No,0.227273808
High,Low,No,High,Low,Anopheles gambiae,No,High,Yes,Yes,Low,Rural,No,Yes,Bad,Good,Yes,0.141705101
Low,High,No,Low,Low,Aedes aegypti,No,High,No,No,High,Urban,Yes,Yes,Bad,Good,No,0.434924226
Low,Low,No,High,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,No,No,Bad,Good,No,0.673420671
High,High,Yes,High,High,Aedes aegypti,No,High,Yes,Yes,High,Rural,No,No,Good,Bad,No,0.138068135
High,Low,No,High,High,Aedes aegypti,Yes,Low,No,Yes,Low,Rural,Yes,No,Good,Bad,No,0.906021502
Low,Low,No,High,High,Culex quinquefasciatus,Yes,Low,Yes,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.629405909
High,Low,No,High,High,Aedes aegypti,No,High,No,Yes,Low,Rural,No,No,Bad,Bad,No,0.06638104
High,Low,No,High,Low,Aedes aegypti,No,High,No,Yes,High,Rural,No,Yes,Bad,Good,Yes,0.402745988
High,High,Yes,Low,High,Anopheles gambiae,No,Low,No,Yes,High,Urban,No,No,Good,Bad,No,0.077928365
High,High,Yes,High,Low,Culex quinquefasciatus,Yes,Low,Yes,No,Low,Urban,No,No,Good,Bad,Yes,0.196578572
High,Low,Yes,High,Low,Anopheles gambiae,Yes,Low,Yes,No,High,Rural,No,Yes,Bad,Good,Yes,0.409661285
High,Low,No,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,No,Yes,Bad,Good,No,0.265310265
High,Low,Yes,High,High,Culex quinquefasciatus,No,Low,No,No,Low,Urban,Yes,Yes,Good,Bad,No,0.978599399
Low,High,No,High,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Urban,Yes,No,Bad,Bad,No,0.610769458
High,High,No,Low,Low,Anopheles gambiae,Yes,High,No,No,Low,Rural,Yes,Yes,Good,Good,Yes,0.908375873
Low,High,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,High,Urban,Yes,Yes,Bad,Bad,No,0.154779291
Low,Low,No,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,No,No,Good,Bad,Yes,0.636611676
Low,High,No,High,Low,Anopheles gambiae,No,Low,No,Yes,Low,Urban,No,No,Bad,Good,No,0.957261494
Low,High,No,High,Low,Culex quinquefasciatus,No,High,No,Yes,Low,Urban,No,No,Bad,Bad,No,0.816314194
Low,Low,Yes,High,High,Culex quinquefasciatus,Yes,Low,Yes,No,High,Rural,Yes,No,Good,Bad,No,0.929857136
High,High,No,Low,Low,Aedes aegypti,Yes,Low,Yes,No,Low,Rural,No,Yes,Bad,Good,Yes,0.793545611
Low,High,No,High,Low,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,No,No,Bad,Good,No,0.328210737
Low,Low,No,Low,High,Anopheles gambiae,Yes,High,No,No,Low,Rural,No,No,Bad,Good,Yes,0.603818995
Low,High,No,Low,Low,Anopheles gambiae,No,High,Yes,Yes,High,Rural,Yes,No,Bad,Good,Yes,0.20073448
High,Low,Yes,Low,High,Anopheles gambiae,Yes,Low,Yes,No,Low,Urban,Yes,No,Bad,Good,No,0.224762433
Low,Low,Yes,High,High,Aedes aegypti,No,Low,Yes,Yes,High,Rural,No,Yes,Good,Bad,Yes,0.375806836
High,Low,No,Low,High,Anopheles gambiae,Yes,Low,No,Yes,Low,Urban,Yes,Yes,Bad,Good,Yes,0.280152894
Low,Low,Yes,Low,Low,Aedes aegypti,No,Low,No,No,Low,Urban,Yes,No,Bad,Good,No,0.261862582
Low,Low,Yes,Low,High,Culex quinquefasciatus,No,High,No,Yes,Low,Urban,Yes,No,Bad,Good,No,0.640144906
High,Low,No,High,Low,Aedes aegypti,Yes,High,Yes,Yes,Low,Urban,No,Yes,Bad,Good,Yes,0.632173859
Low,High,Yes,High,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Rural,Yes,Yes,Bad,Bad,No,0.186252929
Low,Low,Yes,High,Low,Culex quinquefasciatus,No,Low,Yes,No,High,Urban,Yes,Yes,Bad,Bad,Yes,0.306219585
Low,High,No,High,High,Aedes aegypti,No,Low,Yes,Yes,High,Rural,Yes,Yes,Good,Bad,Yes,0.145073238
High,High,No,Low,Low,Aedes aegypti,Yes,Low,No,No,Low,Urban,No,Yes,Good,Good,No,0.896271062
Low,High,Yes,High,Low,Culex quinquefasciatus,Yes,Low,Yes,No,High,Urban,No,No,Good,Bad,Yes,0.60570475
High,Low,No,High,Low,Anopheles gambiae,No,Low,No,Yes,Low,Urban,Yes,Yes,Good,Good,Yes,0.230131875
Low,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,High,No,Yes,High,Urban,No,Yes,Good,Good,No,0.878869225
High,Low,No,High,Low,Aedes aegypti,No,Low,No,Yes,Low,Urban,No,Yes,Bad,Good,Yes,0.35209325
Low,High,No,Low,High,Culex quinquefasciatus,No,Low,No,No,Low,Rural,No,Yes,Good,Good,No,0.410682365
High,Low,No,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Rural,No,Yes,Bad,Bad,No,0.789339244
High,High,Yes,Low,Low,Culex quinquefasciatus,Yes,High,No,No,High,Urban,No,No,Bad,Good,Yes,0.582479549
High,Low,Yes,High,Low,Aedes aegypti,No,Low,Yes,Yes,High,Rural,No,No,Bad,Bad,No,0.435284717
High,Low,Yes,Low,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,No,Yes,Good,Bad,No,0.211194665
Low,Low,No,High,High,Aedes aegypti,No,High,Yes,Yes,High,Urban,No,No,Good,Bad,Yes,0.067050064
High,High,No,High,Low,Culex quinquefasciatus,No,High,Yes,Yes,High,Urban,Yes,Yes,Good,Bad,No,0.473997932
High,High,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,Yes,No,High,Rural,No,Yes,Good,Bad,Yes,0.844372133
High,High,No,High,High,Aedes aegypti,No,High,Yes,Yes,Low,Rural,No,No,Good,Bad,No,0.013969845
Low,Low,Yes,Low,Low,Anopheles gambiae,No,High,No,Yes,High,Rural,No,No,Good,Good,No,0.771576816
Low,Low,No,High,High,Aedes aegypti,Yes,Low,No,No,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.207017647
High,High,Yes,High,High,Anopheles gambiae,No,High,No,No,Low,Urban,No,Yes,Bad,Bad,No,0.316893398
Low,Low,No,High,Low,Aedes aegypti,No,High,No,Yes,Low,Urban,Yes,No,Good,Good,Yes,0.910058511
High,High,Yes,Low,High,Aedes aegypti,No,High,No,No,Low,Urban,No,No,Bad,Bad,Yes,0.731269523
High,Low,Yes,Low,Low,Aedes aegypti,No,Low,No,Yes,High,Rural,No,Yes,Good,Good,Yes,0.686248633
High,High,No,Low,Low,Culex quinquefasciatus,No,High,No,No,Low,Rural,No,No,Bad,Bad,No,0.525604832
High,High,No,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,No,Yes,Bad,Good,No,0.285795267
Low,High,No,Low,Low,Culex quinquefasciatus,No,Low,Yes,No,High,Rural,No,No,Bad,Good,No,0.136424237
High,High,No,Low,High,Anopheles gambiae,Yes,High,No,No,High,Rural,Yes,Yes,Bad,Good,Yes,0.714517183
High,High,Yes,High,Low,Anopheles gambiae,Yes,Low,Yes,No,Low,Urban,Yes,No,Bad,Good,No,0.785216803
High,Low,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,No,High,Rural,No,Yes,Bad,Bad,Yes,0.632814947
Low,High,No,High,High,Anopheles gambiae,Yes,High,No,No,High,Urban,No,Yes,Bad,Bad,Yes,0.554372122
High,High,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,No,Low,Rural,No,No,Bad,Good,Yes,0.95934902
Low,Low,No,Low,High,Anopheles gambiae,Yes,Low,No,No,High,Rural,Yes,Yes,Good,Good,Yes,0.412615294
High,High,Yes,Low,High,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,Yes,No,Good,Good,Yes,0.013775334
High,Low,No,Low,High,Anopheles gambiae,Yes,Low,No,No,High,Urban,No,Yes,Good,Good,Yes,0.274477056
High,High,No,Low,High,Culex quinquefasciatus,Yes,High,No,No,Low,Rural,Yes,No,Good,Good,No,0.506438198
High,High,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Urban,No,No,Bad,Bad,No,0.628615546
High,High,Yes,High,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,Yes,Yes,Good,Good,No,0.727846841
High,High,Yes,Low,Low,Aedes aegypti,Yes,Low,Yes,No,Low,Rural,No,No,Bad,Good,Yes,0.264589604
Low,High,Yes,High,Low,Culex quinquefasciatus,Yes,High,No,Yes,High,Rural,Yes,No,Good,Good,Yes,0.353007409
Low,High,Yes,High,Low,Culex quinquefasciatus,Yes,Low,Yes,No,Low,Rural,Yes,No,Bad,Bad,No,0.527052881
High,Low,No,High,High,Anopheles gambiae,No,High,No,No,High,Urban,Yes,Yes,Bad,Bad,No,0.895709699
Low,High,No,High,High,Aedes aegypti,Yes,High,Yes,Yes,Low,Urban,No,Yes,Good,Good,Yes,0.666662187
Low,High,No,Low,High,Anopheles gambiae,Yes,High,Yes,No,High,Urban,No,No,Bad,Bad,Yes,0.187824918
High,High,No,Low,High,Anopheles gambiae,No,Low,No,Yes,High,Urban,No,Yes,Good,Bad,Yes,0.026348527
Low,Low,No,High,High,Culex quinquefasciatus,Yes,Low,No,Yes,High,Rural,No,Yes,Bad,Good,No,0.046547771
Low,Low,Yes,Low,High,Culex quinquefasciatus,No,High,No,Yes,Low,Urban,Yes,No,Bad,Good,Yes,0.290543226
Low,Low,No,High,High,Culex quinquefasciatus,No,High,No,Yes,High,Rural,No,Yes,Good,Bad,Yes,0.69236345
Low,High,No,High,High,Culex quinquefasciatus,Yes,Low,No,No,Low,Urban,Yes,No,Bad,Bad,No,0.126912299
High,Low,Yes,Low,Low,Anopheles gambiae,No,High,Yes,No,Low,Rural,Yes,Yes,Good,Good,Yes,0.810907881
Low,Low,No,High,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Urban,Yes,No,Good,Good,Yes,0.360083147
High,Low,No,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Rural,No,No,Good,Good,No,0.33556816
Low,Low,Yes,High,Low,Anopheles gambiae,No,Low,Yes,Yes,High,Urban,No,Yes,Good,Good,Yes,0.175214799
Low,High,Yes,Low,Low,Culex quinquefasciatus,Yes,High,No,No,Low,Urban,Yes,Yes,Good,Good,Yes,0.616470588
Low,Low,No,High,Low,Culex quinquefasciatus,No,Low,Yes,Yes,High,Rural,Yes,Yes,Bad,Bad,No,0.679272848
High,High,No,High,Low,Anopheles gambiae,Yes,Low,Yes,No,High,Urban,No,Yes,Bad,Good,No,0.094654064
Low,Low,Yes,Low,High,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,No,Yes,Good,Good,No,0.650347666
High,High,No,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,Low,Rural,No,No,Good,Bad,Yes,0.096463773
High,Low,No,High,High,Aedes aegypti,No,High,No,No,Low,Rural,Yes,Yes,Good,Good,Yes,0.427931581
High,High,Yes,Low,High,Anopheles gambiae,Yes,Low,No,No,Low,Rural,No,Yes,Bad,Good,Yes,0.320189026
High,Low,No,Low,Low,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,Yes,Yes,Good,Bad,Yes,0.640912495
Low,Low,No,High,High,Aedes aegypti,No,High,Yes,No,High,Rural,No,Yes,Good,Good,No,0.963627068
Low,High,Yes,Low,High,Anopheles gambiae,Yes,Low,No,No,Low,Urban,Yes,No,Good,Good,No,0.575402059
High,High,Yes,High,Low,Anopheles gambiae,No,High,No,Yes,Low,Rural,Yes,Yes,Bad,Bad,No,0.257998543
High,High,Yes,Low,Low,Aedes aegypti,Yes,High,No,No,Low,Rural,Yes,No,Bad,Bad,Yes,0.793876625
High,Low,Yes,High,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,Yes,No,Bad,Bad,No,0.934879938
High,Low,Yes,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,Yes,No,Good,Good,Yes,0.599740241
Low,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,Yes,No,Low,Urban,No,No,Good,Good,Yes,0.871560697
High,High,No,Low,High,Anopheles gambiae,No,High,No,No,Low,Rural,No,No,Bad,Bad,No,0.206051564
Low,High,No,Low,Low,Anopheles gambiae,No,Low,No,Yes,Low,Urban,No,No,Bad,Good,No,0.627516553
High,Low,No,High,High,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Urban,No,No,Good,Bad,No,0.752225472
High,Low,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Rural,Yes,No,Bad,Good,Yes,0.541455443
Low,Low,No,High,High,Aedes aegypti,Yes,Low,No,No,Low,Urban,No,Yes,Bad,Good,No,0.732132116
High,High,No,High,Low,Anopheles gambiae,No,Low,Yes,No,High,Rural,No,No,Good,Good,No,0.533555976
High,High,No,Low,Low,Aedes aegypti,No,Low,No,Yes,High,Urban,Yes,No,Good,Good,No,0.495875151
High,Low,No,High,Low,Anopheles gambiae,Yes,High,Yes,No,High,Rural,No,No,Good,Bad,No,0.198581974
High,High,Yes,Low,Low,Aedes aegypti,Yes,High,No,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.644449057
Low,High,Yes,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Rural,Yes,No,Good,Bad,No,0.364114663
High,Low,Yes,Low,High,Culex quinquefasciatus,Yes,Low,No,No,High,Rural,No,No,Bad,Good,Yes,0.137114296
High,Low,No,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,Yes,Yes,Good,Good,Yes,0.302625568
Low,High,Yes,Low,High,Anopheles gambiae,Yes,High,No,Yes,High,Rural,No,No,Bad,Good,Yes,0.803682953
High,High,Yes,High,Low,Aedes aegypti,No,Low,No,Yes,Low,Rural,No,Yes,Good,Good,No,0.804554186
Low,High,No,Low,Low,Culex quinquefasciatus,Yes,High,No,No,High,Urban,No,No,Good,Bad,Yes,0.899507515
Low,Low,No,High,High,Aedes aegypti,No,Low,No,No,Low,Urban,No,No,Bad,Good,Yes,0.67107014
High,High,Yes,Low,High,Culex quinquefasciatus,No,High,No,No,High,Urban,No,No,Bad,Good,No,0.419318619
Low,Low,No,Low,Low,Culex quinquefasciatus,No,High,No,Yes,Low,Rural,No,Yes,Bad,Good,Yes,0.95627344
Low,High,No,Low,Low,Aedes aegypti,Yes,Low,No,No,Low,Rural,No,Yes,Good,Bad,Yes,0.786399969
Low,Low,No,High,High,Aedes aegypti,No,Low,No,Yes,High,Rural,Yes,Yes,Bad,Bad,Yes,0.461396654
Low,Low,Yes,Low,High,Anopheles gambiae,Yes,High,No,Yes,High,Rural,Yes,No,Good,Good,Yes,0.390124355
